Query Num	Precision	Recall	F-measure	Average Precision
303	0.214	0.832685	0.340493	0.796321
307	0.051	0.34	0.0886957	0.556617
310	0.156	0.246057	0.190942	0.471584
314	0.051	0.0971429	0.0668852	0.43017
322	0.104	0.116201	0.109763	0.2994
325	0.167	0.467787	0.246131	0.446985
330	0.08	0.285714	0.125	0.275093
336	0.112	0.28866	0.161383	0.717294
341	0.16	0.451977	0.236337	0.697262
344	0.141	0.13327	0.137026	0.236818
345	0.243	0.461101	0.318271	0.516362
347	0.239	0.608142	0.343144	0.781841
353	0.154	0.459701	0.230712	0.69325
354	0.248	0.315121	0.27756	0.525709
362	0.167	0.507599	0.251317	0.588895
363	0.18	0.483871	0.262391	0.523872
367	0.103	0.270341	0.149167	0.459969
372	0.294	0.626866	0.400272	0.760534
374	0.302	0.834254	0.443466	0.706798
375	0.143	0.426866	0.214232	0.843315
378	0.154	0.418478	0.225146	0.65098
383	0.141	0.301927	0.192229	0.516884
389	0.173	0.342574	0.2299	0.58555
393	0.178	0.407323	0.247738	0.270279
394	0.025	0.043554	0.0317662	0.20633

MAP : 0.542324
